都道府県コード,都道府県名,2022,2021,2020,2019,2018,2017,2016,2015,2014
1,北海道,55,53,46,42,37,35,34,26,9
2,青森県,10,10,10,7,6,3,3,1,2
3,岩手県,15,15,11,11,11,9,6,7,4
4,宮城県,7,7,6,4,4,2,2,1,0
5,秋田県,7,4,4,4,4,4,4,3,3
6,山形県,20,19,19,17,15,14,14,13,11
7,福島県,10,10,9,7,6,5,5,4,1
8,茨城県,12,10,8,6,6,5,3,3,2
9,栃木県,10,9,8,8,6,7,7,7,3
10,群馬県,3,3,3,3,4,4,4,4,4
11,埼玉県,4,4,4,4,3,3,4,4,3
12,千葉県,9,10,6,5,5,4,4,4,1
13,東京都,8,9,6,4,4,4,2,2,6
14,神奈川県,5,6,6,3,4,3,2,3,2
15,新潟県,10,10,10,10,10,10,10,10,7
16,富山県,5,3,3,2,2,2,2,2,1
17,石川県,4,4,4,3,2,2,2,2,1
18,福井県,1,1,1,1,1,1,1,1,1
19,山梨県,92,94,92,85,85,81,81,75,58
20,長野県,72,65,62,55,38,35,34,32,18
21,岐阜県,3,2,2,2,2,4,3,2,2
22,静岡県,9,9,8,8,5,5,3,3,1
23,愛知県,7,7,8,8,4,5,3,7,3
24,三重県,3,2,2,2,1,1,1,1,0
25,滋賀県,2,2,2,2,2,2,2,2,2
26,京都府,3,3,4,2,2,2,2,2,2
27,大阪府,8,8,8,8,8,7,7,7,5
28,兵庫県,3,3,3,3,4,4,2,4,3
29,奈良県,1,0,0,0,0,0,0,0,0
30,和歌山県,3,2,2,2,1,1,1,0,0
31,鳥取県,4,4,5,4,3,3,2,2,1
32,島根県,5,6,5,4,4,3,3,2,2
33,岡山県,10,12,10,9,8,7,6,6,4
34,広島県,9,10,7,7,8,6,5,4,3
35,山口県,2,2,2,2,2,1,1,1,0
36,徳島県,2,2,1,1,1,1,0,0,0
37,香川県,3,1,1,1,1,1,1,1,1
38,愛媛県,2,2,2,2,1,1,1,1,0
39,高知県,3,3,2,2,1,1,1,1,0
40,福岡県,8,7,3,3,2,1,1,1,1
41,佐賀県,0,0,0,0,0,0,0,0,0
42,長崎県,2,1,1,1,1,1,1,1,0
43,熊本県,4,5,4,3,3,2,2,3,1
44,大分県,6,6,6,5,6,5,5,6,3
45,宮崎県,5,6,6,6,6,4,4,4,3
46,鹿児島県,2,2,1,1,1,1,1,0,1
47,沖縄県,0,0,0,0,1,1,1,1,1